,model_name,original_length,num_stable,num_unique,num_sun_materials
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_it1,9149,916,532,482
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_it2,9225,1136,559,564
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_it3,9543,1672,489,622
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_it4,9687,2397,437,610
0,qwen_7b_dpo_text_sg_combined_t2_it2,8850,1192,192,223
0,qwen_7b_dpo_text_sg_combined_t2_it3,8743,1394,130,169
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_it2_dt_t0.9,9060,797,579,494
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_it3_dt_t1.1,9065,782,612,520
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_it1_t0.8,9025,797,530,458
0,symmcd,8147,419,375,272
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_dt_0.1_it2_t0.8,9089,965,594,563
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_dt_0.1_it3_t0.9,9366,1475,647,720
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_dt_0.1_it4_t1.0,9299,1162,655,657
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_dt_v2_it3_t0.9,9200,1053,616,600
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_dt_v2_it4_t0.9,9411,1518,658,725
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_dt_v2_it5_t1.1,9359,1443,684,757
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_dt_v2_it6_t1.1,9640,1993,548,747
0,qwen_7b_dpo_wyckoff_sg_combined_t2_novelty_v2_dt_v2_it7_t1.3,9711,2227,537,774
0,qwen_7b_wyckoff_ift_lr1e-6_temp0.7,9154,808,453,404
0,qwen_7b_wyckoff_ift_lr1e-6_it2_temp0.7,9263,844,415,408
0,qwen_7b_dpo_text_sg_combined_t2_it1,8895,921,288,293
